7450-455549				
OS REV: 1.05 Sensor Cal: 1652978053				
Time (sec)	  BV (Volts)	  T (deg C)	  DO (mg/l)	  Q ()
1690274460	3.5	34.618	8.407	0.925
1690275060	3.5	34.734	8.437	0.925
1690275660	3.5	34.877	8.492	0.925
1690276260	3.51	34.939	8.693	0.924
1690276860	3.5	35.073	8.786	0.924
1690277460	3.51	34.832	8.414	0.924
1690278060	3.51	34.671	8.373	0.924
1690278660	3.51	34.635	8.356	0.925
1690279260	3.51	34.591	8.38	0.924
1690279860	3.51	34.662	8.404	0.925
1690280460	3.51	34.653	8.323	0.925
1690281060	3.51	34.635	8.229	0.925
1690281660	3.52	34.743	8.237	0.924
1690282260	3.51	34.877	8.401	0.924
1690282860	3.51	35.002	8.484	0.924
1690283460	3.51	35.19	8.839	0.923
1690284060	3.51	35.217	8.883	0.923
1690284660	3.52	35.495	9.293	0.922
1690285260	3.52	35.558	9.254	0.921
1690285860	3.52	35.594	9.429	0.921
1690286460	3.52	35.648	9.482	0.922
1690287060	3.52	35.819	9.763	0.92
1690287660	3.52	35.81	9.824	0.921
1690288260	3.52	35.846	9.784	0.92
1690288860	3.52	35.918	9.921	0.919
1690289460	3.52	36.035	10.018	0.92
1690290060	3.52	35.936	9.921	0.919
1690290660	3.52	35.801	9.709	0.92
1690291260	3.53	35.738	9.502	0.919
1690291860	3.53	35.567	9.161	0.921
1690292460	3.53	35.432	9.126	0.921
1690293060	3.53	35.378	9.05	0.922
1690293660	3.52	35.288	8.987	0.922
1690294260	3.52	35.235	8.915	0.923
1690294860	3.52	35.163	8.769	0.922
1690295460	3.53	35.109	8.609	0.924
1690296060	3.52	35.235	8.797	0.922
1690296660	3.53	35.181	8.801	0.923
1690297260	3.53	35.181	8.89	0.923
1690297860	3.53	34.984	8.403	0.923
1690298460	3.53	34.886	8.333	0.923
1690299060	3.53	34.921	8.428	0.924
1690299660	3.53	34.886	8.234	0.923
1690300260	3.53	34.984	8.705	0.924
1690300860	3.53	34.85	8.461	0.924
1690301460	3.53	34.662	8.196	0.924
1690302060	3.53	34.68	8.81	0.925
1690302660	3.53	34.519	8.426	0.924
1690303260	3.53	34.261	7.723	0.925
1690303860	3.53	34.163	7.3	0.925
1690304460	3.53	34.048	6.998	0.925
1690305060	3.53	34.039	7.111	0.926
1690305660	3.53	33.977	6.799	0.926
1690306260	3.53	33.923	7.154	0.927
1690306860	3.53	33.888	7.142	0.927
1690307460	3.53	33.799	6.667	0.926
