timestamp,date_time_utc,date_time,       Battery,temp,DO,DO_sat,             Q
1690187460,           2023-07-24 08:31:00,           2023-07-24 11:31:00,3.49,22.102,6.522528,94.589823,0.959
1690188060,           2023-07-24 08:41:00,           2023-07-24 11:41:00,3.5,22.378,6.501127,94.734943,0.96
1690188660,           2023-07-24 08:51:00,           2023-07-24 11:51:00,3.5,23.307,6.398992,94.758135,0.96
1690189260,           2023-07-24 09:01:00,           2023-07-24 12:01:00,3.49,24.019,6.33529,94.964385,0.96
1690189860,           2023-07-24 09:11:00,           2023-07-24 12:11:00,3.5,24.54,6.279665,94.965905,0.96
1690190460,           2023-07-24 09:21:00,           2023-07-24 12:21:00,3.49,24.994,6.228763,94.919181,0.959
1690191060,           2023-07-24 09:31:00,           2023-07-24 12:31:00,3.5,25.423,6.194971,95.084722,0.96
1690191660,           2023-07-24 09:41:00,           2023-07-24 12:41:00,3.5,25.786,6.155669,95.054355,0.959
1690192260,           2023-07-24 09:51:00,           2023-07-24 12:51:00,3.5,26.572,6.083791,95.172743,0.96
1690192860,           2023-07-24 10:01:00,           2023-07-24 13:01:00,3.49,27.821,5.983229,95.526161,0.959
1690193460,           2023-07-24 10:11:00,           2023-07-24 13:11:00,3.5,26.86,6.067445,95.366737,0.958
1690194060,           2023-07-24 10:21:00,           2023-07-24 13:21:00,3.5,25.997,6.15696,95.407668,0.959
1690194660,           2023-07-24 10:31:00,           2023-07-24 13:31:00,3.5,25.356,6.218135,95.333513,0.959
1690195260,           2023-07-24 10:41:00,           2023-07-24 13:41:00,3.5,24.842,6.265319,95.232643,0.959
1690195860,           2023-07-24 10:51:00,           2023-07-24 13:51:00,3.5,24.372,6.30648,95.100776,0.959
1690196460,           2023-07-24 11:01:00,           2023-07-24 14:01:00,3.5,23.986,6.350004,95.131487,0.96
1690197060,           2023-07-24 11:11:00,           2023-07-24 14:11:00,3.5,23.642,6.37725,94.980338,0.959
1690197660,           2023-07-24 11:21:00,           2023-07-24 14:21:00,3.51,23.332,6.414308,95.025768,0.96
1690198260,           2023-07-24 11:31:00,           2023-07-24 14:31:00,3.5,23.047,6.447622,95.051621,0.96
1690198860,           2023-07-24 11:41:00,           2023-07-24 14:41:00,3.5,22.796,6.466228,94.913155,0.96
1690199460,           2023-07-24 11:51:00,           2023-07-24 14:51:00,3.5,22.595,6.484569,94.851093,0.96
1690200060,           2023-07-24 12:01:00,           2023-07-24 15:01:00,3.51,22.369,6.514466,94.914436,0.96
1690200660,           2023-07-24 12:11:00,           2023-07-24 15:11:00,3.51,22.177,6.524164,94.737729,0.96
1690201260,           2023-07-24 12:21:00,           2023-07-24 15:21:00,3.5,22.026,6.536682,94.669035,0.96
1690201860,           2023-07-24 12:31:00,           2023-07-24 15:31:00,3.5,21.867,6.560155,94.744419,0.96
1690202460,           2023-07-24 12:41:00,           2023-07-24 15:41:00,3.5,21.7,6.579569,94.746214,0.96
1690203060,           2023-07-24 12:51:00,           2023-07-24 15:51:00,3.51,21.591,6.583843,94.625884,0.96
1690203660,           2023-07-24 13:01:00,           2023-07-24 16:01:00,3.51,21.458,6.598887,94.619731,0.96
1690204260,           2023-07-24 13:11:00,           2023-07-24 16:11:00,3.51,21.349,6.605517,94.532431,0.96
1690204860,           2023-07-24 13:21:00,           2023-07-24 16:21:00,3.51,21.24,6.622398,94.591252,0.961
1690205460,           2023-07-24 13:31:00,           2023-07-24 16:31:00,3.51,21.106,6.6374,94.580393,0.961
1690206060,           2023-07-24 13:41:00,           2023-07-24 16:41:00,3.5,20.998,6.642444,94.47072,0.96
1690206660,           2023-07-24 13:51:00,           2023-07-24 16:51:00,3.5,20.906,6.65319,94.468711,0.96
1690207260,           2023-07-24 14:01:00,           2023-07-24 17:01:00,3.51,20.805,6.667767,94.505356,0.961
1690207860,           2023-07-24 14:11:00,           2023-07-24 17:11:00,3.51,20.721,6.679385,94.528146,0.961
1690208460,           2023-07-24 14:21:00,           2023-07-24 17:21:00,3.51,20.663,6.684213,94.498463,0.96
1690209060,           2023-07-24 14:31:00,           2023-07-24 17:31:00,3.51,20.579,6.696611,94.531544,0.961
1690209660,           2023-07-24 14:41:00,           2023-07-24 17:41:00,3.51,20.521,6.699858,94.479172,0.961
1690210260,           2023-07-24 14:51:00,           2023-07-24 17:51:00,3.51,20.445,6.703676,94.404271,0.96
1690210860,           2023-07-24 15:01:00,           2023-07-24 18:01:00,3.51,20.42,6.711255,94.468614,0.961
1690211460,           2023-07-24 15:11:00,           2023-07-24 18:11:00,3.51,20.378,6.705236,94.312739,0.96
1690212060,           2023-07-24 15:21:00,           2023-07-24 18:21:00,3.51,20.336,6.706307,94.256655,0.961
1690212660,           2023-07-24 15:31:00,           2023-07-24 18:31:00,3.51,20.278,6.707972,94.181799,0.961
1690213260,           2023-07-24 15:41:00,           2023-07-24 18:41:00,3.51,20.186,6.721828,94.220172,0.961
1690213860,           2023-07-24 15:51:00,           2023-07-24 18:51:00,3.51,20.127,6.730564,94.242373,0.961
1690214460,           2023-07-24 16:01:00,           2023-07-24 19:01:00,3.51,20.052,6.73438,94.168295,0.961
1690215060,           2023-07-24 16:11:00,           2023-07-24 19:11:00,3.51,19.985,6.745375,94.207984,0.961
1690215660,           2023-07-24 16:21:00,           2023-07-24 19:21:00,3.51,19.918,6.743772,94.071574,0.96
1690216260,           2023-07-24 16:31:00,           2023-07-24 19:31:00,3.51,19.834,6.754553,94.078821,0.96
1690216860,           2023-07-24 16:41:00,           2023-07-24 19:41:00,3.51,19.784,6.762599,94.105583,0.961
1690217460,           2023-07-24 16:51:00,           2023-07-24 19:51:00,3.51,19.716,6.769634,94.087378,0.961
1690218060,           2023-07-24 17:01:00,           2023-07-24 20:01:00,3.51,19.649,6.785333,94.190932,0.961
1690218660,           2023-07-24 17:11:00,           2023-07-24 20:11:00,3.51,19.641,6.782875,94.143115,0.961
1690219260,           2023-07-24 17:21:00,           2023-07-24 20:21:00,3.51,19.582,6.796308,94.228461,0.961
1690219860,           2023-07-24 17:31:00,           2023-07-24 20:31:00,3.51,19.582,6.790014,94.141203,0.961
1690220460,           2023-07-24 17:41:00,           2023-07-24 20:41:00,3.51,19.582,6.790014,94.141203,0.961
1690221060,           2023-07-24 17:51:00,           2023-07-24 20:51:00,3.51,19.54,6.795788,94.149305,0.961
1690221660,           2023-07-24 18:01:00,           2023-07-24 21:01:00,3.51,19.532,6.802769,94.232297,0.961
1690222260,           2023-07-24 18:11:00,           2023-07-24 21:11:00,3.51,19.515,6.797839,94.134873,0.961
1690222860,           2023-07-24 18:21:00,           2023-07-24 21:21:00,3.51,19.498,6.789762,93.993939,0.96
1690223460,           2023-07-24 18:31:00,           2023-07-24 21:31:00,3.51,19.482,6.805296,94.181527,0.961
1690224060,           2023-07-24 18:41:00,           2023-07-24 21:41:00,3.51,19.457,6.801053,94.079956,0.96
1690224660,           2023-07-24 18:51:00,           2023-07-24 21:51:00,3.51,19.457,6.804985,94.134357,0.961
1690225260,           2023-07-24 19:01:00,           2023-07-24 22:01:00,3.51,19.431,6.814101,94.215797,0.961
1690225860,           2023-07-24 19:11:00,           2023-07-24 22:11:00,3.51,19.44,6.799269,94.026149,0.96
