7450-389989				
OS REV: 1.05 Sensor Cal: 1652986391				
Time (sec)	  BV (Volts)	  T (deg C)	  DO (mg/l)	  Q ()
1690274460	3.49	34.545	9.03	0.935
1690275060	3.49	34.625	8.989	0.935
1690275660	3.49	34.75	9.021	0.935
1690276260	3.49	34.848	9.268	0.935
1690276860	3.49	35.001	9.391	0.936
1690277460	3.49	34.777	8.907	0.934
1690278060	3.49	34.616	8.91	0.936
1690278660	3.5	34.571	8.878	0.936
1690279260	3.5	34.545	8.911	0.937
1690279860	3.5	34.598	8.925	0.937
1690280460	3.5	34.58	8.868	0.938
1690281060	3.5	34.598	8.684	0.937
1690281660	3.5	34.687	8.749	0.937
1690282260	3.5	34.804	8.849	0.936
1690282860	3.5	34.965	8.997	0.936
1690283460	3.5	35.108	9.312	0.936
1690284060	3.5	35.117	9.297	0.936
1690284660	3.5	35.413	9.844	0.938
1690285260	3.5	35.458	9.808	0.938
1690285860	3.5	35.476	9.786	0.936
1690286460	3.51	35.575	10.015	0.938
1690287060	3.51	35.737	10.386	0.939
1690287660	3.51	35.755	10.446	0.939
1690288260	3.51	35.791	10.355	0.939
1690288860	3.51	35.872	10.325	0.94
1690289460	3.51	36.007	10.557	0.94
1690290060	3.51	35.89	10.213	0.939
1690290660	3.51	35.737	10.062	0.939
1690291260	3.51	35.638	9.853	0.938
1690291860	3.51	35.458	9.579	0.939
1690292460	3.51	35.395	9.585	0.94
1690293060	3.51	35.314	9.507	0.94
1690293660	3.51	35.234	9.411	0.939
1690294260	3.51	35.198	9.416	0.941
1690294860	3.51	35.099	9.206	0.941
1690295460	3.51	35.045	8.936	0.939
1690296060	3.51	35.117	9.052	0.94
1690296660	3.51	35.099	9.054	0.941
1690297260	3.51	35.099	9.172	0.94
1690297860	3.51	34.902	8.694	0.939
1690298460	3.51	34.839	8.723	0.941
1690299060	3.51	34.884	8.695	0.939
1690299660	3.51	34.857	8.466	0.939
1690300260	3.51	34.938	9.081	0.941
1690300860	3.51	34.795	8.5	0.94
1690301460	3.52	34.652	8.62	0.94
1690302060	3.52	34.643	9.32	0.943
1690302660	3.52	34.509	8.834	0.942
1690303260	3.52	34.259	7.929	0.94
1690303860	3.51	34.153	7.304	0.938
1690304460	3.51	34.055	7.016	0.938
1690305060	3.51	34.028	7.082	0.939
1690305660	3.51	33.975	6.878	0.939
1690306260	3.52	33.921	7.488	0.941
1690306860	3.52	33.895	7.488	0.94
1690307460	3.52	33.762	6.963	0.94
1690308060	3.52	33.726	6.453	0.939
1690308660	3.52	33.7	6.599	0.938
1690309260	3.52	33.691	6.761	0.939
1690309860	3.52	33.682	6.743	0.939
1690310460	3.52	33.726	7.068	0.94
1690311060	3.52	33.753	7.45	0.941
1690311660	3.52	33.744	7.288	0.941
1690312260	3.52	33.762	7.629	0.94
1690312860	3.52	33.744	7.615	0.942
1690313460	3.52	33.735	7.599	0.942
1690314060	3.52	33.682	7.661	0.942
1690314660	3.52	33.655	7.628	0.942
1690315260	3.52	33.62	7.635	0.942
1690315860	3.52	33.62	7.526	0.942
1690316460	3.52	33.602	7.327	0.942
